                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.53114,                0.92151,                0.53562,                 1.0672,                0.96321,                0.85926,                0.93726,                0.80424,                0.96321,                0.85926,                0.93331,                 0.7973,                0.57466,                0.90598,                0.53049,                  1.207,              0.0015446,              0.0015446,              0.0015446
                     25,                0.50271,                 0.8896,                0.52229,                 1.0553,                0.96008,                0.89086,                0.94648,                0.82138,                0.95211,                0.88371,                 0.9369,                 0.8195,                0.51147,                0.79384,                0.50633,                 1.1533,              0.0015248,              0.0015248,              0.0015248
                     26,                0.50973,                0.87647,                0.51122,                 1.0539,                0.92122,                 0.9037,                0.93197,                0.80907,                0.90423,                0.90922,                0.92898,                0.80448,                0.54515,                0.78201,                0.56901,                 1.1718,               0.001505,               0.001505,               0.001505
                     27,                0.49744,                0.86008,                0.50684,                  1.044,                0.94589,                0.90643,                0.94472,                0.82577,                0.91393,                0.94393,                0.95295,                0.83528,                0.51325,                0.76663,                0.49588,                 1.1444,              0.0014852,              0.0014852,              0.0014852
                     28,                0.49238,                0.87227,                 0.5005,                 1.0416,                0.94457,                0.91852,                0.94483,                0.82797,                0.94457,                0.91852,                0.94395,                0.81852,                0.53753,                0.80549,                0.53051,                 1.1847,              0.0014654,              0.0014654,              0.0014654
                     29,                0.48638,                0.83841,                0.49734,                 1.0369,                0.95292,                0.89958,                0.93734,                0.81165,                0.96077,                0.90699,                0.94067,                0.79726,                0.56183,                0.88955,                0.53465,                 1.2175,              0.0014456,              0.0014456,              0.0014456
                     30,                0.48373,                0.84801,                0.48314,                 1.0386,                0.95554,                 0.9037,                0.93484,                0.82881,                0.95554,                 0.9037,                0.94161,                0.81833,                0.50362,                0.76799,                0.47083,                 1.1201,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.4772,                0.83397,                0.48054,                 1.0329,                0.90554,                0.92312,                0.94098,                0.83957,                0.90554,                0.92312,                0.94066,                0.81481,                0.49228,                0.74164,                0.51405,                 1.1369,               0.001406,               0.001406,               0.001406
                     32,                0.45782,                 0.7903,                0.45506,                 1.0249,                0.92547,                0.93333,                0.94787,                0.84705,                0.92547,                0.93333,                0.94787,                0.82312,                0.46302,                0.77846,                0.50406,                 1.0918,              0.0013862,              0.0013862,              0.0013862
                     33,                   0.46,                0.79498,                0.45707,                 1.0201,                0.95289,                0.92593,                0.94647,                0.84278,                0.95289,                0.92593,                0.94647,                 0.8132,                0.47485,                0.79383,                0.47909,                 1.1356,              0.0013664,              0.0013664,              0.0013664
                     34,                0.46651,                0.80762,                0.46195,                 1.0226,                0.92526,                0.91701,                0.93971,                0.84305,                0.92526,                0.91701,                0.94178,                0.80959,                0.46869,                0.80864,                0.48987,                 1.0957,              0.0013466,              0.0013466,              0.0013466
                     35,                0.45608,                0.79391,                   0.46,                 1.0259,                0.89916,                0.93333,                0.94865,                0.84389,                0.93669,                0.91111,                0.95007,                0.82213,                 0.4973,                0.75847,                0.50036,                 1.0992,              0.0013268,              0.0013268,              0.0013268
                     36,                0.45367,                0.78186,                0.45208,                 1.0229,                 0.9649,                0.91111,                0.95059,                0.85256,                 0.9649,                0.91111,                0.94678,                0.83237,                0.45702,                0.71606,                0.45209,                 1.1045,               0.001307,               0.001307,               0.001307
                     37,                0.44127,                0.76319,                0.44089,                 1.0096,                0.93429,                0.91111,                0.94455,                0.82337,                0.93932,                0.91734,                0.94619,                0.80498,                0.52289,                0.75404,                0.49424,                 1.1782,              0.0012872,              0.0012872,              0.0012872
                     38,                0.44351,                0.75366,                0.43904,                 1.0198,                0.91247,                0.92664,                0.95919,                0.85761,                0.91247,                0.92664,                0.95919,                 0.8368,                0.46332,                0.77337,                0.42773,                   1.07,              0.0012674,              0.0012674,              0.0012674
                     39,                0.44174,                0.76246,                0.44333,                 1.0148,                0.96788,                 0.9037,                0.96325,                0.86307,                0.96788,                 0.9037,                0.96325,                 0.8362,                0.45935,                 0.7534,                0.44693,                 1.0833,              0.0012476,              0.0012476,              0.0012476
